Team,Player_ID,Player_Name
CLE,benneme01,Mel Bennett
CLE,bransbr01,Brad Branson
CLE,brewero01,Ron Brewer
CLE,carrke01,Kenny Carr
CLE,dillami01,Mickey Dillard
CLE,edwarja01,James Edwards
CLE,evansmi01,Mike Evans
CLE,forddo01,Don Ford
CLE,herroke01,Keith Herron
CLE,hubbaph01,Phil Hubbard
CLE,hustoge01,Geoff Huston
CLE,johnsre01,Reggie Johnson
CLE,laimbbi01,Bill Laimbeer
CLE,mitchmi01,Mike Mitchell
CLE,mokespa01,Paul Mokeski
CLE,moorelo01,Lowes Moore
CLE,pheglro01,Roger Phegley
CLE,restake01,Kevin Restani
CLE,robincl01,Cliff Robinson
CLE,silasja01,James Silas
CLE,washiri01,Richard Washington
CLE,wedmasc01,Scott Wedman
CLE,wilkebo01,Bob Wilkerson
BOS,aingeda01,Danny Ainge
BOS,architi01,Tiny Archibald
BOS,birdla01,Larry Bird
BOS,bradlch01,Charles Bradley
BOS,carrml01,M.L. Carr
BOS,duerote01,Terry Duerod
BOS,fernser01,Eric Fernsten
BOS,fordch01,Chris Ford
BOS,hendege01,Gerald Henderson
BOS,jackstr01,Tracy Jackson
BOS,maxwece01,Cedric Maxwell
BOS,mchalke01,Kevin McHale
BOS,parisro01,Robert Parish
BOS,robeyri01,Rick Robey
NYK,bradlal02,Alex Bradley
NYK,cartere01,Reggie Carter
NYK,cartwbi01,Bill Cartwright
NYK,copelho01,Hollis Copeland
NYK,demicla01,Larry Demic
NYK,knighto01,Toby Knight
NYK,lucasma01,Maurice Lucas
NYK,newlimi01,Mike Newlin
NYK,richami01,Michael Ray Richardson
NYK,russeca02,Campy Russell
NYK,scalede01,DeWayne Scales
NYK,smithra01,Randy Smith
NYK,webstma01,Marvin Webster
NYK,westppa01,Paul Westphal
NYK,willisl01,Sly Williams
MIL,bridgju01,Junior Bridgeman
MIL,bucknqu01,Quinn Buckner
MIL,catchha01,Harvey Catchings
MIL,crompge01,Geoff Crompton
MIL,cummipa01,Pat Cummings
MIL,dandrbo01,Bob Dandridge
MIL,evansmi01,Mike Evans
MIL,hollabr01,Brad Holland
MIL,johnsma01,Marques Johnson
MIL,johnsmi01,Mickey Johnson
MIL,laniebo01,Bob Lanier
MIL,listeal01,Alton Lister
MIL,maysc01,Scott May
MIL,moncrsi01,Sidney Moncrief
MIL,smithro01,Robert Smith
MIL,stacoke01,Kevin Stacom
MIL,wintebr01,Brian Winters
IND,bantomi01,Mike Bantom
IND,busedo01,Don Buse
IND,cartebu01,Butch Carter
IND,davisjo01,Johnny Davis
IND,johnscl01,Clemon Johnson
IND,johnsge03,George Johnson
IND,knighbi01,Billy Knight
IND,mcginge01,George McGinnis
IND,orrlo01,Louis Orr
IND,owensto01,Tom Owens
IND,sichtje01,Jerry Sichting
IND,townsra01,Raymond Townsend
IND,willihe01,Herb Williams
DET,bensoke01,Kent Benson
DET,carrke01,Kenny Carr
DET,hagangl01,Glenn Hagan
