Player_ID,Player_Name
daughbr01,Brad Daugherty
dudlech02,Chris Dudley
ehlocr01,Craig Ehlo
harpero01,Ron Harper
hubbaph01,Phil Hubbard
keysra01,Randolph Keys
nancela01,Larry Nance
pricema01,Mark Price
rollitr01,Tree Rollins
sandemi01,Mike Sanders
valenda01,Darnell Valentine
williho01,Hot Rod Williams
acresma01,Mark Acres
aingeda01,Danny Ainge
birdla01,Larry Bird
birdsot01,Otis Birdsong
gamblke01,Kevin Gamble
grandro01,Ron Grandison
johnsde01,Dennis Johnson
kleinjo01,Joe Kleine
lewisre01,Reggie Lewis
lohaubr01,Brad Lohaus
mchalke01,Kevin McHale
parisro01,Robert Parish
paxsoji02,Jim Paxson
pincked01,Ed Pinckney
rivasra01,Ramón Rivas
shawbr01,Brian Shaw
upshake01,Kelvin Upshaw
butlegr01,Greg Butler
ewingpa01,Patrick Ewing
greensi02,Sidney Green
jacksma01,Mark Jackson
myerspe01,Pete Myers
newmajo01,Johnny Newman
oaklech01,Charles Oakley
stricro02,Rod Strickland
tucketr01,Trent Tucker
vandeki01,Kiki Vandeweghe
walkeke01,Kenny Walker
wilkied01,Eddie Lee Wilkins
wilkige01,Gerald Wilkins
breuera01,Randy Breuer
brownto01,Tony Brown
cummite01,Terry Cummings
davisma01,Mark Davis
dunlemi01,Mike Dunleavy
grayeje01,Jeff Grayer
greenri01,Rickey Green
horfoti01,Tito Horford
humphja01,Jay Humphries
krystla01,Larry Krystkowiak
mokespa01,Paul Mokeski
moncrsi01,Sidney Moncrief
piercri01,Ricky Pierce
presspa01,Paul Pressey
roberfr01,Fred Roberts
sikmaja01,Jack Sikma
turnean01,Andre Turner
dreilgr01,Greg Dreiling
flemive01,Vern Fleming
fredean01,Anthony Frederick
grayst01,Stuart Gray
longjo01,John Long
millere01,Reggie Miller
mortori01,Richard Morton
persoch01,Chuck Person
schrede01,Detlef Schrempf
skilesc01,Scott Skiles
smitsri01,Rik Smits
stephev01,Everette Stephens
thompla01,LaSalle Thompson
tisdawa01,Wayman Tisdale
toneyse01,Sedric Toney
willihe01,Herb Williams
wittmra01,Randy Wittman
aguirma01,Mark Aguirre
dantlad01,Adrian Dantley
dawkida01,Darryl Dawkins
dembofe01,Fennis Dembo
dumarjo01,Joe Dumars
edwarja01,James Edwards
harrist01,Steve Harris
johnsvi01,Vinnie Johnson
laimbbi01,Bill Laimbeer
mahorri01,Rick Mahorn
mannipa01,Pace Mannion
rodmade01,Dennis Rodman
rowinji01,Jim Rowinski
sallejo01,John Salley
thomais01,Isiah Thomas
willimi02,Micheal Williams
battljo01,John Battle
bradldu01,Dudley Bradley
